eye,channel 2,channel 3,alpha,eye filtered,channel 2 filtered,channel 3 filtered,alpha filtered
8336.423828125,-15721.138671875,-5556.931640625,-8414.7109375,-0.25846346431832457,-0.67255020146222488,-0.49816302319014344,-0.5482838370164812
8391.7744140625,-15608.1220703125,-5454.50341796875,-8335.9150390625,-0.25843080568812477,-0.67254571309872635,-0.49815475265681591,-0.54824986007856491
8416.3203125,-15430.4658203125,-5391.38818359375,-8311.37890625,-0.25857843271837788,-0.67224731616149347,-0.49804494000241639,-0.54803332207606759
8377.3740234375,-15440.66796875,-5459.72705078125,-8377.5244140625,-0.25879611216084136,-0.67185568488697534,-0.4979012473603136,-0.54776340569312076
8323.9716796875,-15620.404296875,-5563.41650390625,-8444.7431640625,-0.25896417900140933,-0.67156958553172275,-0.49779585458905901,-0.54757930182511416
8332.9697265625,-15720.791015625,-5557.138671875,-8406.64453125,-0.25901706787113177,-0.67150411104670205,-0.4977769386026879,-0.54756414000471865
8391.33203125,-15609.4775390625,-5454.72021484375,-8337.0166015625,-0.25896204234508063,-0.67165724989829467,-0.49784768405339758,-0.54770850755527467
8417.7978515625,-15432.5458984375,-5391.91552734375,-8310.23046875,-0.25885548896781618,-0.67192315055812546,-0.49796427779870972,-0.54792230979823842
8377.7880859375,-15440.48046875,-5458.84228515625,-8372.09375,-0.25876345139405676,-0.67215148873928132,-0.49806220960748504,-0.54809050155507089
8324.791015625,-15618.4189453125,-5562.17431640625,-8443.6796875,-0.25873073272230435,-0.67223225371847328,-0.49809740188306728,-0.54813866838536363
8328.921875,-15726.607421875,-5562.39990234375,-8414.27734375,-0.25876669662916718,-0.67215517804055247,-0.49807040868051083,-0.54806618909436622
8386.193359375,-15616.583984375,-5460.0,-8326.3154296875,-0.25884625862873556,-0.67199996105202597,-0.49801512918727697,-0.54793051797543879
8415.181640625,-15436.2919921875,-5393.81640625,-8302.7197265625,-0.2589246326226935,-0.67186821575059885,-0.49796728598624973,-0.54780349596662903
8377.1669921875,-15441.205078125,-5458.37158203125,-8382.607421875,-0.25896227607917277,-0.67181745749986876,-0.49794394394591973,-0.54773447888330873
8324.724609375,-15617.1298828125,-5561.49658203125,-8446.7861328125,-0.25894762664412702,-0.67184627731933622,-0.49794644168627444,-0.54773739273556221
8332.6494140625,-15723.953125,-5561.27978515625,-8419.482421875,-0.25890149864016437,-0.67192270671580445,-0.49797127577433015,-0.54779518886987077
8388.3203125,-15616.103515625,-5460.00927734375,-8338.908203125,-0.25885915211493971,-0.67201228488771347,-0.49801118749930939,-0.54787071207309501
